iter	Passed	Remaining
0	31	31220
1	43	21916
2	58	19526
3	79	19796
4	86	17145
5	94	15679
6	100	14196
7	106	13237
8	114	12614
9	121	12058
10	129	11599
11	135	11145
12	140	10697
13	146	10286
14	150	9864
15	154	9484
16	160	9295
17	166	9081
18	172	8887
19	176	8625
20	181	8470
21	188	8396
22	194	8269
23	206	8396
24	213	8321
25	216	8120
26	221	7988
27	227	7903
28	233	7806
29	237	7671
30	241	7542
31	246	7442
32	249	7311
33	254	7240
34	261	7196
35	265	7111
36	272	7094
37	275	6978
38	280	6920
39	284	6837
40	289	6774
41	294	6720
42	300	6686
43	307	6690
44	312	6627
45	315	6546
46	320	6502
47	324	6439
48	327	6365
49	332	6314
50	336	6267
51	341	6221
52	346	6189
53	350	6137
54	353	6077
55	359	6055
56	365	6041
57	368	5986
58	372	5943
59	375	5880
60	379	5845
61	385	5826
62	388	5772
63	393	5752
64	400	5754
65	405	5738
66	409	5702
67	412	5659
68	416	5614
69	421	5599
70	426	5578
71	429	5534
72	432	5493
73	434	5442
74	439	5417
75	442	5378
76	446	5349
77	449	5309
78	454	5292
79	458	5268
80	461	5233
81	465	5211
82	468	5175
83	472	5154
84	477	5145
85	481	5120
86	486	5103
87	489	5073
88	493	5049
89	497	5025
90	500	4999
91	504	4981
92	513	5012
93	542	5232
94	548	5228
95	562	5296
96	568	5295
97	575	5300
98	582	5299
99	587	5291
100	592	5276
101	596	5249
102	602	5247
103	607	5231
104	613	5233
105	617	5205
106	621	5189
107	626	5171
108	630	5156
109	635	5143
110	643	5151
111	648	5141
112	652	5123
113	657	5109
114	663	5102
115	668	5096
116	674	5089
117	678	5068
118	683	5060
119	688	5049
120	692	5029
121	696	5014
122	703	5012
123	707	4998
124	711	4978
125	716	4968
126	732	5037
127	736	5016
128	741	5005
129	744	4982
130	748	4967
131	752	4950
132	756	4932
133	761	4919
134	764	4899
135	769	4886
136	772	4863
137	776	4852
138	781	4839
139	784	4818
140	788	4804
141	795	4804
142	798	4787
143	804	4780
144	810	4778
145	815	4768
146	821	4765
147	824	4749
148	829	4738
149	833	4723
150	836	4706
151	841	4692
152	845	4682
153	849	4668
154	854	4659
155	859	4647
156	862	4632
157	868	4628
158	872	4616
159	875	4597
160	879	4584
161	883	4570
162	887	4559
163	896	4567
164	899	4551
165	902	4535
166	906	4523
167	910	4511
168	914	4494
169	917	4478
170	921	4465
171	926	4460
172	929	4444
173	933	4429
174	936	4416
175	940	4404
176	944	4390
177	948	4380
178	953	4374
179	957	4361
180	961	4352
181	967	4347
182	970	4333
183	975	4326
184	979	4316
185	986	4317
186	990	4304
187	994	4296
188	998	4283
189	1002	4273
190	1005	4260
191	1009	4248
192	1018	4256
193	1025	4259
194	1030	4254
195	1039	4264
196	1046	4265
197	1051	4259
198	1057	4256
199	1063	4255
200	1071	4257
201	1077	4257
202	1083	4253
203	1088	4245
204	1091	4233
205	1099	4237
206	1106	4238
207	1113	4241
208	1119	4235
209	1122	4223
210	1126	4213
211	1130	4200
212	1135	4196
213	1140	4188
214	1144	4177
215	1149	4172
216	1153	4161
217	1156	4149
218	1160	4139
219	1164	4128
220	1168	4118
221	1171	4105
222	1176	4097
223	1180	4088
224	1183	4075
225	1186	4064
226	1191	4055
227	1194	4045
228	1197	4033
229	1205	4034
230	1208	4022
231	1213	4016
232	1217	4008
233	1233	4038
234	1236	4025
235	1241	4018
236	1245	4010
237	1250	4003
238	1253	3992
239	1256	3980
240	1260	3970
241	1264	3959
242	1269	3953
243	1273	3944
244	1277	3936
245	1281	3928
246	1285	3917
247	1290	3913
248	1295	3906
249	1298	3896
250	1303	3888
251	1307	3882
252	1311	3871
253	1315	3862
254	1317	3850
255	1322	3843
256	1327	3836
257	1329	3824
258	1333	3816
259	1336	3804
260	1339	3792
261	1342	3782
262	1345	3771
263	1350	3766
264	1355	3759
265	1359	3750
266	1363	3743
267	1366	3733
268	1369	3721
269	1372	3711
270	1376	3703
271	1381	3697
272	1385	3688
273	1389	3681
274	1392	3671
275	1396	3662
276	1400	3655
277	1403	3645
278	1407	3637
279	1410	3628
280	1415	3622
281	1420	3616
282	1423	3607
283	1427	3599
284	1431	3590
285	1435	3584
286	1439	3576
287	1443	3567
288	1447	3560
289	1450	3551
290	1454	3542
291	1457	3534
292	1461	3527
293	1465	3520
294	1469	3511
295	1474	3506
296	1478	3498
297	1482	3491
298	1485	3482
299	1488	3474
300	1494	3469
301	1497	3461
302	1501	3454
303	1505	3447
304	1509	3439
305	1513	3433
306	1517	3425
307	1521	3419
308	1526	3412
309	1528	3402
310	1533	3396
311	1536	3389
312	1541	3382
313	1545	3376
314	1548	3367
315	1553	3362
316	1556	3354
317	1561	3348
318	1565	3341
319	1568	3333
320	1572	3326
321	1576	3318
322	1599	3351
323	1603	3346
324	1608	3341
325	1613	3334
326	1616	3326
327	1620	3321
328	1624	3313
329	1628	3306
330	1631	3298
331	1635	3290
332	1640	3285
333	1643	3276
334	1647	3269
335	1650	3262
336	1654	3255
337	1657	3247
338	1662	3240
339	1665	3232
340	1668	3225
341	1672	3218
342	1675	3210
343	1680	3204
344	1684	3197
345	1687	3189
346	1690	3180
347	1694	3175
348	1701	3174
349	1705	3166
350	1708	3159
351	1713	3154
352	1716	3146
353	1721	3141
354	1726	3137
355	1730	3130
356	1734	3123
357	1737	3116
358	1742	3110
359	1746	3105
360	1749	3097
361	1753	3090
362	1758	3085
363	1761	3078
364	1765	3072
365	1768	3063
366	1773	3059
367	1778	3054
368	1781	3046
369	1785	3040
370	1788	3032
371	1794	3028
372	1797	3021
373	1801	3015
374	1804	3008
375	1807	3000
376	1811	2993
377	1815	2987
378	1820	2983
379	1824	2976
380	1827	2969
381	1832	2963
382	1834	2955
383	1843	2957
384	1847	2951
385	1851	2945
386	1855	2938
387	1859	2933
388	1863	2926
389	1867	2920
390	1870	2913
391	1874	2906
392	1876	2899
393	1880	2892
394	1883	2885
395	1887	2878
396	1890	2871
397	1893	2864
398	1897	2857
399	1901	2851
400	1906	2847
401	1910	2841
402	1913	2834
403	1919	2831
404	1923	2825
405	1926	2817
406	1931	2814
407	1934	2806
408	1937	2799
409	1940	2792
410	1944	2786
411	1948	2780
412	1952	2774
413	1955	2768
414	1961	2765
415	1965	2759
416	1970	2755
417	1974	2749
418	1978	2743
419	1982	2737
420	1985	2731
421	1992	2728
422	1996	2723
423	1999	2716
424	2004	2711
425	2007	2705
426	2012	2700
427	2016	2694
428	2019	2687
429	2023	2682
430	2026	2675
431	2029	2668
432	2032	2661
433	2035	2655
434	2038	2648
435	2042	2642
436	2046	2636
437	2050	2630
438	2053	2624
439	2058	2619
440	2063	2615
441	2066	2608
442	2071	2604
443	2075	2598
444	2080	2594
445	2084	2589
446	2089	2584
447	2092	2578
448	2097	2573
449	2100	2567
450	2105	2563
451	2109	2557
452	2113	2551
453	2117	2546
454	2123	2542
455	2126	2537
456	2131	2532
457	2136	2527
458	2139	2521
459	2143	2515
460	2147	2510
461	2151	2505
462	2156	2501
463	2160	2495
464	2165	2491
465	2170	2486
466	2174	2482
467	2177	2475
468	2180	2469
469	2184	2463
470	2189	2458
471	2194	2454
472	2197	2448
473	2201	2442
474	2204	2436
475	2207	2430
476	2211	2424
477	2215	2419
478	2219	2413
479	2223	2408
480	2226	2402
481	2230	2397
482	2237	2394
483	2244	2393
484	2248	2387
485	2252	2381
486	2255	2376
487	2258	2369
488	2262	2364
489	2269	2361
490	2272	2355
491	2276	2350
492	2295	2360
493	2299	2355
494	2303	2350
495	2308	2345
496	2312	2340
497	2317	2336
498	2322	2331
499	2326	2326
500	2331	2321
501	2335	2316
502	2338	2310
503	2342	2305
504	2346	2299
505	2349	2293
506	2353	2288
507	2357	2282
508	2361	2278
509	2365	2272
510	2369	2267
511	2373	2261
512	2377	2257
513	2384	2254
514	2389	2250
515	2392	2243
516	2395	2238
517	2399	2232
518	2403	2227
519	2407	2221
520	2410	2215
521	2413	2210
522	2419	2206
523	2423	2201
524	2426	2195
525	2430	2190
526	2436	2186
527	2440	2181
528	2444	2176
529	2450	2173
530	2453	2167
531	2457	2162
532	2461	2156
533	2464	2150
534	2468	2145
535	2471	2139
536	2476	2135
537	2481	2130
538	2485	2125
539	2489	2120
540	2492	2114
541	2496	2109
542	2500	2104
543	2505	2099
544	2508	2094
545	2512	2089
546	2516	2084
547	2520	2079
548	2531	2079
549	2546	2083
550	2560	2086
551	2573	2088
552	2587	2091
553	2602	2095
554	2613	2095
555	2624	2095
556	2628	2090
557	2632	2085
558	2637	2080
559	2642	2076
560	2645	2070
561	2671	2082
562	2675	2076
563	2678	2070
564	2683	2065
565	2686	2060
566	2689	2054
567	2692	2048
568	2696	2042
569	2699	2036
570	2703	2030
571	2707	2026
572	2711	2020
573	2716	2016
574	2719	2010
575	2723	2004
576	2727	1999
577	2731	1993
578	2734	1988
579	2739	1983
580	2742	1978
581	2747	1973
582	2751	1967
583	2756	1963
584	2759	1957
585	2763	1952
586	2767	1947
587	2771	1942
588	2776	1937
589	2781	1932
590	2784	1927
591	2788	1921
592	2791	1915
593	2795	1910
594	2798	1904
595	2802	1899
596	2805	1893
597	2808	1888
598	2811	1882
599	2815	1877
600	2818	1871
601	2822	1866
602	2827	1861
603	2830	1855
604	2834	1850
605	2838	1845
606	2842	1840
607	2846	1835
608	2849	1829
609	2853	1824
610	2857	1819
611	2862	1814
612	2864	1808
613	2869	1803
614	2872	1797
615	2875	1792
616	2878	1786
617	2881	1781
618	2886	1776
619	2888	1770
620	2892	1765
621	2897	1760
622	2901	1756
623	2905	1750
624	2908	1745
625	2911	1739
626	2914	1734
627	2918	1728
628	2921	1723
629	2926	1718
630	2930	1713
631	2935	1709
632	2940	1704
633	2944	1699
634	2948	1694
635	2953	1690
636	2956	1684
637	2961	1680
638	2964	1674
639	2967	1669
640	2970	1663
641	2974	1658
642	2977	1653
643	2981	1647
644	2984	1642
645	2988	1637
646	2992	1632
647	2995	1627
648	2998	1621
649	3001	1616
650	3006	1611
651	3009	1606
652	3014	1601
653	3017	1596
654	3021	1591
655	3027	1587
656	3030	1582
657	3033	1576
658	3036	1571
659	3040	1566
660	3045	1561
661	3048	1556
662	3051	1551
663	3054	1545
664	3059	1541
665	3064	1536
666	3067	1531
667	3070	1526
668	3073	1520
669	3076	1515
670	3080	1510
671	3083	1504
672	3087	1499
673	3091	1495
674	3093	1489
675	3097	1484
676	3100	1479
677	3103	1474
678	3106	1468
679	3109	1463
680	3113	1458
681	3116	1453
682	3120	1448
683	3123	1443
684	3126	1437
685	3130	1432
686	3133	1427
687	3137	1422
688	3140	1417
689	3145	1413
690	3151	1409
691	3158	1405
692	3164	1401
693	3168	1397
694	3175	1393
695	3180	1389
696	3184	1384
697	3187	1378
698	3190	1373
699	3194	1369
700	3198	1364
701	3201	1359
702	3205	1354
703	3208	1349
704	3214	1344
705	3219	1340
706	3226	1336
707	3228	1331
708	3234	1327
709	3238	1322
710	3241	1317
711	3244	1312
712	3247	1307
713	3252	1302
714	3256	1297
715	3260	1293
716	3263	1288
717	3266	1282
718	3270	1278
719	3272	1272
720	3276	1267
721	3280	1263
722	3283	1258
723	3286	1252
724	3288	1247
725	3293	1242
726	3296	1237
727	3299	1232
728	3302	1227
729	3305	1222
730	3309	1217
731	3312	1212
732	3317	1208
733	3321	1203
734	3325	1198
735	3327	1193
736	3331	1188
737	3336	1184
738	3339	1179
739	3343	1174
740	3345	1169
741	3349	1164
742	3352	1159
743	3356	1154
744	3359	1149
745	3363	1145
746	3366	1140
747	3370	1135
748	3373	1130
749	3377	1125
750	3383	1121
751	3387	1117
752	3391	1112
753	3395	1107
754	3399	1103
755	3404	1098
756	3409	1094
757	3413	1089
758	3417	1085
759	3422	1080
760	3427	1076
761	3433	1072
762	3445	1070
763	3451	1066
764	3457	1062
765	3463	1058
766	3467	1053
767	3472	1048
768	3476	1044
769	3479	1039
770	3484	1034
771	3489	1030
772	3493	1025
773	3498	1021
774	3502	1016
775	3506	1012
776	3511	1007
777	3514	1002
778	3520	998
779	3525	994
780	3529	989
781	3533	984
782	3539	980
783	3543	976
784	3546	971
785	3550	966
786	3554	961
787	3558	957
788	3561	952
789	3565	947
790	3569	943
791	3572	938
792	3577	933
793	3580	929
794	3584	924
795	3587	919
796	3592	914
797	3596	910
798	3600	905
799	3604	901
800	3608	896
801	3614	892
802	3618	887
803	3622	883
804	3625	878
